V,I
0.51300000000000001,0.062300000000000001
1,0.65100000000000002
1.1499999999999999,0.99399999999999999
1.25,1.167
1.5,1.446
1.6000000000000001,1.5700000000000001
1.75,1.615
1.8,1.613
2,1.498
2.5,1.1970000000000001
3,0.92300000000000004
3.5,0.76200000000000001
3.9900000000000002,0.66500000000000004
4.5,0.5907
5,0.55000000000000004
5.5099999999999998,0.52300000000000002
6,0.52300000000000002
6.5,0.54100000000000004
7,0.55100000000000005
7.5,0.56699999999999995
8,0.58599999999999997
8.5,0.64100000000000001
9,0.70599999999999996
9.5099999999999998,0.81399999999999995
10,0.89239999999999997
10.5,0.96299999999999997
11,1.0900000000000001
11.5,1.3220000000000001
11.9,1.4319999999999999
